X,Y,Z
0.267716535,2.081650273,0.057375615
0.267716535,2.081633963,0.057150175
0.267716535,2.081617042,0.056916705
0.267716535,2.081599507,0.056675216
0.267716535,2.081581355,0.056425722
0.267716535,2.081562584,0.056168232
0.267716535,2.081543192,0.055902758
0.267716535,2.081523175,0.055629313
0.267716535,2.08150253,0.055347908
0.267716535,2.081481256,0.055058554
0.267716535,2.081459348,0.054761262
0.267716535,2.081436803,0.054456045
0.267716535,2.081413618,0.054142914
0.267716535,2.08138979,0.05382188
0.267716535,2.081365315,0.053492954
0.267716535,2.081340189,0.053156149
0.267716535,2.081314409,0.052811476
0.267716535,2.081287971,0.052458945
0.267716535,2.081260871,0.052098569
0.267716535,2.081233106,0.051730359
0.267716535,2.08120467,0.051354326
0.267716535,2.08117556,0.050970482
0.267716535,2.081145772,0.050578839
0.267716535,2.081115301,0.050179406
0.267716535,2.081084142,0.049772196
0.267716535,2.081052291,0.049357221
0.267716535,2.081019744,0.048934491
0.267716535,2.080986496,0.048504017
0.267716535,2.080952541,0.048065812
0.267716535,2.080917875,0.047619886
0.267716535,2.080882492,0.047166251
0.267716535,2.080846389,0.046704917
0.267716535,2.080809558,0.046235897
0.267716535,2.080771996,0.045759202
0.267716535,2.080733697,0.045274842
0.267716535,2.080694654,0.044782829
0.267716535,2.080654864,0.044283174
0.267716535,2.080614319,0.043775889
0.267716535,2.080573014,0.043260984
0.267716535,2.080530943,0.042738471
0.267716535,2.080488101,0.042208361
0.267716535,2.080444481,0.041670666
0.267716535,2.080400077,0.041125395
0.267716535,2.080354883,0.040572562
0.267716535,2.080308892,0.040012176
0.267716535,2.080262099,0.039444249
0.267716535,2.080214496,0.038868792
0.267716535,2.080166078,0.038285817
0.267716535,2.080116837,0.037695333
0.267716535,2.080066768,0.037097354
0.267716535,2.080015862,0.036491889
0.267716535,2.079964113,0.035878949
0.267716535,2.079911514,0.035258547
0.267716535,2.079858059,0.034630693
0.267716535,2.079803739,0.033995397
0.267716535,2.079748549,0.033352672
0.267716535,2.079692479,0.032702529
0.267716535,2.079635524,0.032044978
0.267716535,2.079577675,0.03138003
0.267716535,2.079518926,0.030707697
0.267716535,2.079459267,0.03002799
0.267716535,2.079398693,0.02934092
0.267716535,2.079337194,0.028646498
0.267716535,2.079274764,0.027944734
0.267716535,2.079211393,0.027235641
0.267716535,2.079147075,0.026519229
0.267716535,2.0790818,0.025795509
0.267716535,2.079015562,0.025064493
0.267716535,2.078948351,0.024326191
0.267716535,2.078880159,0.023580615
0.267716535,2.078810978,0.022827775
0.267716535,2.0787408,0.022067683
0.267716535,2.078669615,0.021300349
0.267716535,2.078597416,0.020525786
