X,Y,Z
0.143001091,3.132356107,-0.09169187
0.143001091,3.132128108,-0.093935609
0.143001091,3.13189683,-0.09619254
0.143001091,3.13166224,-0.098462643
0.143001091,3.131424305,-0.100745897
0.143001091,3.131182992,-0.103042281
0.143001091,3.130938269,-0.105351774
0.143001091,3.130690102,-0.107674356
0.143001091,3.130438457,-0.110010004
0.143001091,3.130183302,-0.112358699
0.143001091,3.129924601,-0.114720419
0.143001091,3.129662323,-0.117095142
0.143001091,3.129396432,-0.119482848
0.143001091,3.129126895,-0.121883516
0.143001091,3.128853677,-0.124297123
0.143001091,3.128576745,-0.126723648
0.143001091,3.128296062,-0.12916307
0.143001091,3.128011596,-0.131615367
0.143001091,3.127723311,-0.134080517
0.143001091,3.127431171,-0.136558499
0.143001091,3.127135143,-0.13904929
0.143001091,3.126835191,-0.14155287
0.143001091,3.126531279,-0.144069214
0.143001091,3.126223373,-0.146598303
0.143001091,3.125911436,-0.149140113
0.143001091,3.125595432,-0.151694622
0.143001091,3.125275327,-0.154261807
0.143001091,3.124951084,-0.156841647
0.143001091,3.124622666,-0.159434118
0.143001091,3.124290039,-0.162039199
0.143001091,3.123953164,-0.164656866
0.143001091,3.123612006,-0.167287097
0.143001091,3.123266529,-0.169929868
0.143001091,3.122916695,-0.172585157
0.143001091,3.122562467,-0.17525294
0.143001091,3.122203809,-0.177933195
0.143001091,3.121840684,-0.180625898
0.143001091,3.121473054,-0.183331026
0.143001091,3.121100882,-0.186048555
0.143001091,3.120724131,-0.188778461
0.143001091,3.120342763,-0.191520722
0.143001091,3.11995674,-0.194275313
0.143001091,3.119566024,-0.19704221
0.143001091,3.119170579,-0.199821389
0.143001091,3.118770365,-0.202612827
0.143001091,3.118365344,-0.205416499
0.143001091,3.117955478,-0.208232381
0.143001091,3.11754073,-0.211060448
0.143001091,3.11712106,-0.213900675
0.143001091,3.11669643,-0.216753039
0.143001091,3.116266801,-0.219617515
0.143001091,3.115832135,-0.222494077
0.143001091,3.115392392,-0.2253827
0.143001091,3.114947534,-0.22828336
0.143001091,3.114497521,-0.231196031
0.143001091,3.114042315,-0.234120689
0.143001091,3.113581876,-0.237057307
0.143001091,3.113116164,-0.240005859
0.143001091,3.112645141,-0.242966321
0.143001091,3.112168766,-0.245938667
0.143001091,3.111687001,-0.24892287
0.143001091,3.111199804,-0.251918905
0.143001091,3.110707137,-0.254926745
0.143001091,3.11020896,-0.257946364
0.143001091,3.109705232,-0.260977735
